year,data_type,value,kind,slope,reg_point,peace_reg_memory,peace_reg,direction_ferme,column_order,avg_loss_mem,avg_loss_no_mem
1716,trade,,total,Marseille +1.1%/an,75300694.7051798,,,Marseille,0,Perte memoire-39.5%,Perte -30.6%
1717,trade,,total,Marseille +1.1%/an,76157679.65614982,,,Marseille,0,Perte memoire-39.5%,Perte -30.6%
1718,trade,,total,Marseille +1.1%/an,77024417.8133696,,,Marseille,0,Perte memoire-39.5%,Perte -30.6%
1719,trade,,total,Marseille +1.1%/an,77901020.17649183,,,Marseille,0,Perte memoire-39.5%,Perte -30.6%
1720,trade,,total,Marseille +1.1%/an,78787599.00843842,,,Marseille,0,Perte memoire-39.5%,Perte -30.6%
1721,trade,,total,Marseille +1.1%/an,79684267.8497774,,,Marseille,0,Perte memoire-39.5%,Perte -30.6%
1722,trade,,total,Marseille +1.1%/an,80591141.53326346,,,Marseille,0,Perte memoire-39.5%,Perte -30.6%
1723,trade,,total,Marseille +1.1%/an,81508336.19854419,,,Marseille,0,Perte memoire-39.5%,Perte -30.6%
1724,trade,,total,Marseille +1.1%/an,82435969.30703332,,,Marseille,0,Perte memoire-39.5%,Perte -30.6%
1725,trade,,total,Marseille +1.1%/an,83374159.6569547,,,Marseille,0,Perte memoire-39.5%,Perte -30.6%
1726,trade,,total,Marseille +1.1%/an,84323027.39855456,,,Marseille,0,Perte memoire-39.5%,Perte -30.6%
1727,trade,,total,Marseille +1.1%/an,85282694.04948981,,,Marseille,0,Perte memoire-39.5%,Perte -30.6%
1728,trade,,total,Marseille +1.1%/an,86253282.51039001,,,Marseille,0,Perte memoire-39.5%,Perte -30.6%
1729,trade,,total,Marseille +1.1%/an,87234917.08059682,,,Marseille,0,Perte memoire-39.5%,Perte -30.6%
1730,trade,,total,Marseille +1.1%/an,88227723.47408246,,,Marseille,0,Perte memoire-39.5%,Perte -30.6%
1731,trade,,total,Marseille +1.1%/an,89231828.83554909,,,Marseille,0,Perte memoire-39.5%,Perte -30.6%
1732,trade,,total,Marseille +1.1%/an,90247361.75671299,,,Marseille,0,Perte memoire-39.5%,Perte -30.6%
1733,trade,,total,Marseille +1.1%/an,91274452.29277088,,,Marseille,0,Perte memoire-39.5%,Perte -30.6%
1734,trade,,total,Marseille +1.1%/an,92313231.97905682,,,Marseille,0,Perte memoire-39.5%,Perte -30.6%
1735,trade,,total,Marseille +1.1%/an,93363833.84788711,,,Marseille,0,Perte memoire-39.5%,Perte -30.6%
1736,trade,,total,Marseille +1.1%/an,94426392.44559719,,,Marseille,0,Perte memoire-39.5%,Perte -30.6%
