port,latitude,longitude,category,count
Loano,44.133333,8.25,méditerranée occidentale,127
"Pouille, undeterminé",41.25,16.25,méditerranée occidentale,4
Kherson,46.633333,32.6,empire ottoman,17
Bône / Annaba,36.9,7.766667,empire ottoman,109
La Pria / Pietra Ligure,44.15,8.283333,méditerranée occidentale,115
Castellammare,40.7,14.483333,méditerranée occidentale,55
Tunis,36.802778,10.179722,empire ottoman,134
Acre,32.923611,35.072778,empire ottoman,36
Leith,55.95,-3.166667,Ponant,3
Angleterre,53,-2,Ponant,2
Ilha do Farol,36.966667,-7.866667,Ponant,1
Vilagarcía de Arousa,42.595493,-8.765788,méditerranée occidentale,1
Cadix,36.526274,-6.2887,méditerranée occidentale,131
Alicante,38.349909,-0.483427,méditerranée occidentale,112
La Calle,36.895556,8.443333,empire ottoman,91
Malte,35.899722,14.514722,méditerranée occidentale,60
Smyrne,38.4103750184273,27.1420102471873,empire ottoman,202
Bastia,42.702778,9.45,méditerranée occidentale,67
Agde,43.316667,3.466667,méditerranée occidentale,283
Agrigente,37.316667,13.566667,méditerranée occidentale,50
Trapani,38.018511, 12.535744,méditerranée occidentale,13
Carthagène,37.6,-0.983333,méditerranée occidentale,119
Licata,37.1,13.933333,méditerranée occidentale,43
Djerba,33.8,10.9,empire ottoman,5
Barcelone,41.38822,2.169399,méditerranée occidentale,90
Majorque,39.566667,2.65,méditerranée occidentale,75
Arkhangelsk,64.547222,40.548611,Ponant,2
Saint-Malo,48.65,-2.016667,Ponant,11
Blanes,41.676116, 2.789330,méditerranée occidentale,14
Malaga,36.726956,-4.425802,méditerranée occidentale,53
Terreneuve de Sicile / Gela,37.071993, 14.229377,méditerranée occidentale,31
Catane,37.5,15.1,méditerranée occidentale,32
Palamós,41.850439, 3.129803,méditerranée occidentale,50
Livourne,43.55,10.316667,méditerranée occidentale,226
Sète,43.4,3.683333,méditerranée occidentale,250
Sant Feliu de Guíxols,41.781553,3.028657,méditerranée occidentale,80
Farsund,58.083333,6.8,Ponant,1
Águilas,37.4,-1.583333,méditerranée occidentale,39
